Order,Sample,Age,Sex,Sp. Nr.,Species,Class,Order,Family,Pest,Migratory,Wingspan (mm),No. Reads,Date
219,1317,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,6856,13/5/2013
220,1317,Ad,M,111,Uresiphita gilvata/ polygonalis,Insecta,Lepidoptera,Crambidae,no,yes,32,4189,13/5/2013
221,1317,Ad,M,44,Cunctochrysa albolineata,Insecta,Neuroptera,Chrysopidae,no,no,na,3650,13/5/2013
222,1317,Ad,M,34,Chrysopidae sp. 1,Insecta,Neuroptera,Chrysopidae,no,no,na,2354,13/5/2013
223,1317,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,2002,13/5/2013
224,1317,Ad,M,110,Tortrix viridana,Insecta,Lepidoptera,Tortricidae,yes,no,20.5,1654,13/5/2013
225,1317,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,771,13/5/2013
226,1318,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,24238,13/5/2013
227,1318,Ad,M,7,Agrochola lunosa,Insecta,Lepidoptera,Noctuidae,no,no,35,4531,13/5/2013
228,1318,Ad,M,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,4424,13/5/2013
229,1318,Ad,M,4,Agonopterix scopariella,Insecta,Lepidoptera,Depressariidae,no,no,20.5,3878,13/5/2013
230,1318,Ad,M,110,Tortrix viridana,Insecta,Lepidoptera,Tortricidae,yes,no,20.5,2543,13/5/2013
231,1318,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,1714,13/5/2013
232,1318,Ad,M,104,Tipula invenusta,Insecta,Diptera,Tipulidae,no,no,na,1356,13/5/2013
233,1318,Ad,M,86,Pachycnemia hippocastanaria,Insecta,Lepidoptera,Geometridae,no,no,30,503,13/5/2013
234,1319,Ad,M,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,13391,13/5/2013
235,1319,Ad,M,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,10218,13/5/2013
236,1319,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,6933,13/5/2013
237,1319,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,2289,13/5/2013
238,1319,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,879,13/5/2013
239,1319,Ad,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,807,13/5/2013
240,1320,Ad,F,17,Arthropoda sp.1,unclassified Arthropoda,unclassified Arthropoda,unclassified Arthropoda,no,no,na,49236,13/5/2013
241,1321,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,19132,13/5/2013
242,1321,Ad,M,73,Mythimna albipuncta,Insecta,Lepidoptera,Noctuidae,no,yes,32.5,3588,13/5/2013
243,1321,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,2606,13/5/2013
244,1321,Ad,M,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,1281,13/5/2013
245,1321,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,351,13/5/2013
246,1321,Ad,M,67,Idaea laevigata,Insecta,Lepidoptera,Geometridae,no,no,20,336,13/5/2013
247,1322,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,23266,13/5/2013
248,1322,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,12053,13/5/2013
249,1322,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,5326,13/5/2013
250,1322,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1809,13/5/2013
251,1322,Ad,F,3,Agonopterix pupillana*,Insecta,Lepidoptera,Depressariidae,no,no,na,1676,13/5/2013
252,1322,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,1651,13/5/2013
253,1322,Ad,F,67,Idaea laevigata,Insecta,Lepidoptera,Geometridae,no,no,20,1243,13/5/2013
254,1344,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,23040,15/5/2013
255,1344,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,396,15/5/2013
256,1345,Ad,F,9,Agrotis lata,Insecta,Lepidoptera,Noctuidae,no,no,40,38973,15/5/2013
257,1345,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,910,15/5/2013
258,1345,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,457,15/5/2013
259,1347,Ad,F,83,Nyctobrya muralis,Insecta,Lepidoptera,Noctuidae,no,no,30.5,14941,15/5/2013
260,1347,Ad,F,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,14333,15/5/2013
261,1347,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,12515,15/5/2013
262,1347,Ad,F,17,Arthropoda sp.1,unclassified Arthropoda,unclassified Arthropoda,unclassified Arthropoda,no,no,na,1211,15/5/2013
263,1353,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,32030,15/5/2013
264,1353,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,4565,15/5/2013
265,1353,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,2225,15/5/2013
266,1353,Ad,F,12,Anarta trifolii/ Plemyria rubiginata/ Choristoneura hebenstreitella,Insecta,Lepidoptera,Noctuidae / Geometridae / Tortricidae,yes,yes,29,1503,15/5/2013
267,1373,Ad,F,17,Arthropoda sp.1,unclassified Arthropoda,unclassified Arthropoda,unclassified Arthropoda,no,no,na,24745,12/6/2013
268,1373,Ad,F,4,Agonopterix scopariella,Insecta,Lepidoptera,Depressariidae,no,no,20.5,5217,12/6/2013
269,1373,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,4713,12/6/2013
270,1373,Ad,F,59,Euxoa nigrofusca/obelisca,Insecta,Lepidoptera,Noctuidae,no,no,34,4537,12/6/2013
271,1373,Ad,F,80,Noctua tirrenica,Insecta,Lepidoptera,Noctuidae,no,no,51,1204,12/6/2013
272,1375,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,14432,12/6/2013
273,1375,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,2809,12/6/2013
274,1375,Ad,M,77,Noctua comes,Insecta,Lepidoptera,Noctuidae,yes,no,41,856,12/6/2013
275,1375,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,520,12/6/2013
276,1385,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,17714,16/6/2013
277,1385,Ad,M,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,9429,16/6/2013
278,1385,Ad,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,1109,16/6/2013
279,1385,Ad,M,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,651,16/6/2013
280,1388,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,19268,16/6/2013
281,1388,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,15641,16/6/2013
282,1388,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,2119,16/6/2013
283,1388,Ad,F,3,Agonopterix pupillana*,Insecta,Lepidoptera,Depressariidae,no,no,na,1778,16/6/2013
284,1388,Ad,F,67,Idaea laevigata,Insecta,Lepidoptera,Geometridae,no,no,20,1705,16/6/2013
285,1388,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,614,16/6/2013
286,1388,Ad,F,90,Plebejus argusº,Insecta,Lepidoptera,Lycaenidae,no,no,29,566,16/6/2013
287,1433,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,21593,20/6/2013
288,1433,Ad,M,47,Cydia fagiglandana,Insecta,Lepidoptera,Tortricidae,no,no,14,3249,20/6/2013
289,1434,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,28800,20/6/2013
290,1436,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,4868,20/6/2013
291,1436,Ad,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,2287,20/6/2013
292,1436,Ad,F,70,Leucania loreyi,Insecta,Lepidoptera,Noctuidae,yes,yes,39,2043,20/6/2013
293,1436,Ad,F,110,Tortrix viridana,Insecta,Lepidoptera,Tortricidae,yes,no,20.5,190,20/6/2013
294,1440,Ad,M,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,13565,20/6/2013
295,1440,Ad,M,105,Tipula oleracea,Insecta,Diptera,Tipulidae,no,no,na,8165,20/6/2013
296,1440,Ad,M,65,Hoplodrina octogenaria/ Caradrina flavirena/ Caradrina fuscicornis/ Caradrina  aspersa ,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,30.5,2862,20/6/2013
297,1440,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,2588,20/6/2013
298,1440,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1462,20/6/2013
299,1440,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,604,20/6/2013
300,1440,Ad,M,9,Agrotis lata,Insecta,Lepidoptera,Noctuidae,no,no,40,549,20/6/2013
301,1440,Ad,M,28,Caradrina morpheus/ Carpatolechia sp./ Lacanobia contigua,Insecta,Lepidoptera,Noctuidae/ Gelechiidae/ Noctuidae,no,no,37,357,20/6/2013
302,1467,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,30032,24/6/2013
303,1467,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,7924,24/6/2013
304,1467,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,1339,24/6/2013
305,1467,Ad,F,67,Idaea laevigata,Insecta,Lepidoptera,Geometridae,no,no,20,851,24/6/2013
306,1469,Ad,F,15,Aporophyla lueneburgensis,Insecta,Lepidoptera,Noctuidae,no,no,38.5,44861,24/6/2013
307,1477,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,41557,24/6/2013
308,1479,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,43043,24/6/2013
309,1479,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,635,24/6/2013
310,1536,Ad,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,26980,16/7/2013
311,1536,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,7861,16/7/2013
312,1536,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,5066,16/7/2013
313,1536,Ad,F,73,Mythimna albipuncta,Insecta,Lepidoptera,Noctuidae,no,yes,32.5,1325,16/7/2013
314,1536,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,865,16/7/2013
315,1539,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,22521,16/7/2013
316,1539,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,4522,16/7/2013
317,1539,Ad,F,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,3576,16/7/2013
318,1539,Ad,F,65,Hoplodrina octogenaria/ Caradrina flavirena/ Caradrina fuscicornis/ Caradrina  aspersa ,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,30.5,2445,16/7/2013
319,1539,Ad,F,34,Chrysopidae sp. 1,Insecta,Neuroptera,Chrysopidae,no,no,na,825,16/7/2013
320,1539,Ad,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,701,16/7/2013
321,1552,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,41588,3/8/2013
322,1567,Ad,F,77,Noctua comes,Insecta,Lepidoptera,Noctuidae,yes,no,41,39969,3/8/2013
323,1567,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,2984,3/8/2013
324,1567,Ad,F,111,Uresiphita gilvata/ polygonalis,Insecta,Lepidoptera,Crambidae,no,yes,32,1721,3/8/2013
325,1569,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,16188,3/8/2013
326,1569,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,10845,3/8/2013
327,1569,Ad,F,77,Noctua comes,Insecta,Lepidoptera,Noctuidae,yes,no,41,647,3/8/2013
328,1581,Ad,F,41,Crocidosema plebejana ,Insecta,Lepidoptera,Tortricidae,no,no,14,36258,12/8/2013
329,1582,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,13096,12/8/2013
330,1582,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,6637,12/8/2013
331,1582,Ad,F,30,Chloantha hyperici/ Helicoverpa armigera,Insecta,Lepidoptera,Noctuidae,yes,yes,35,3567,12/8/2013
332,1630,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,14176,3/9/2013
333,1630,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,9702,3/9/2013
334,1630,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,7353,3/9/2013
335,1630,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,483,3/9/2013
336,1670,Ad,F,59,Euxoa nigrofusca/obelisca,Insecta,Lepidoptera,Noctuidae,no,no,34,17304,5/9/2013
337,1670,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,7955,5/9/2013
338,1670,Ad,F,100,Synaphe punctalis,Insecta,Lepidoptera,Pyralidae,no,no,24.5,5010,5/9/2013
339,1670,Ad,F,46,Cyclophora puppillaria,Insecta,Lepidoptera,Geometridae,yes,yes,32,3475,5/9/2013
340,1670,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,2611,5/9/2013
341,1670,Ad,F,112,Wesmaelius subnebulosus,Insecta,Neuroptera,Hemerobiidae,no,no,na,2430,5/9/2013
342,1670,Ad,F,17,Arthropoda sp.1,unclassified Arthropoda,unclassified Arthropoda,unclassified Arthropoda,no,no,na,1627,5/9/2013
343,1670,Ad,F,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,994,5/9/2013
344,1674,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,12800,5/9/2013
345,1674,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,8788,5/9/2013
346,1674,Ad,F,68,Idaea sardoniata,Insecta,Lepidoptera,Geometridae,no,no,na,5753,5/9/2013
347,1674,Ad,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,1902,5/9/2013
348,1674,Ad,F,21,Botyodes diniasalis,Insecta,Lepidoptera,Crambidae,yes,no,30,993,5/9/2013
349,1674,Ad,F,5,Agonopterix thapsiella,Insecta,Lepidoptera,Depressariidae,no,no,na,738,5/9/2013
350,1674,Ad,F,110,Tortrix viridana,Insecta,Lepidoptera,Tortricidae,yes,no,20.5,398,5/9/2013
351,1674,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,363,5/9/2013
352,1678,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,35563,5/9/2013
353,1678,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,2113,5/9/2013
354,1679,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,23282,5/9/2013
355,1679,Ad,F,77,Noctua comes,Insecta,Lepidoptera,Noctuidae,yes,no,41,4448,5/9/2013
356,1679,Ad,F,105,Tipula oleracea,Insecta,Diptera,Tipulidae,no,no,na,2384,5/9/2013
357,1679,Ad,F,92,Pseudenargia ulicis,Insecta,Lepidoptera,Noctuidae,no,no,42,839,5/9/2013
358,1679,Ad,F,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,706,5/9/2013
359,1706,Ad,M,98,Rhyacia simulans,Insecta,Lepidoptera,Noctuidae,no,yes,52.5,35204,15/9/2013
360,1709,Juv,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,11202,15/9/2013
361,1709,Juv,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,8435,15/9/2013
362,1709,Juv,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,7456,15/9/2013
363,1709,Juv,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,7061,15/9/2013
364,1709,Juv,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,5069,15/9/2013
365,1710,Ad,M,65,Hoplodrina octogenaria/ Caradrina flavirena/ Caradrina fuscicornis/ Caradrina  aspersa ,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,30.5,13552,15/9/2013
366,1710,Ad,M,23,Bryotropha terrella,Insecta,Lepidoptera,Gelechiidae,no,no,15,9859,15/9/2013
367,1710,Ad,M,32,Chrysopa viridana,Insecta,Neuroptera,Chrysopidae,no,no,na,5673,15/9/2013
368,1710,Ad,M,34,Chrysopidae sp. 1,Insecta,Neuroptera,Chrysopidae,no,no,na,2675,15/9/2013
369,1710,Ad,M,1,Acrobasis bithynella,Insecta,Lepidoptera,Pyralidae,no,no,20,2472,15/9/2013
370,1710,Ad,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,1031,15/9/2013
371,1710,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,675,15/9/2013
372,1710,Ad,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,567,15/9/2013
373,1710,Ad,M,61,Gymnoscelis rufifasciata,Insecta,Lepidoptera,Geometridae,yes,no,17,567,15/9/2013
374,1712,Juv,M,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,135881,15/9/2013
375,1712,Juv,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,21576,15/9/2013
376,1712,Juv,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,9788,15/9/2013
377,1712,Juv,M,108,Trigonophora haasi,Insecta,Lepidoptera,Noctuidae,no,no,na,4543,15/9/2013
378,1713,Juv,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,17497,15/9/2013
379,1713,Juv,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,1781,15/9/2013
380,1718,Juv,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,35664,15/9/2013
381,1718,Juv,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,2244,15/9/2013
382,1718,Juv,M,85,Onychora agaritharia,Insecta,Lepidoptera,Geometridae,no,no,na,774,15/9/2013
383,1718,Juv,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,552,15/9/2013
384,1723,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,33745,15/9/2013
385,1723,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,3408,15/9/2013
386,1723,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,1801,15/9/2013
387,1723,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,1231,15/9/2013
388,1726,Ad,M,84,Nysius graminicola,Insecta,Hemiptera,Lygaeidae,no,no,na,18877,15/9/2013
389,1726,Ad,M,47,Cydia fagiglandana,Insecta,Lepidoptera,Tortricidae,no,no,14,11309,15/9/2013
390,1727,Juv,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,15737,17/9/2013
391,1727,Juv,M,18,Aspitates ochrearia,Insecta,Lepidoptera,Geometridae,yes,no,29.5,2551,17/9/2013
392,1727,Juv,M,110,Tortrix viridana,Insecta,Lepidoptera,Tortricidae,yes,no,20.5,1322,17/9/2013
393,1727,Juv,M,25,Camptogramma bilineata,Insecta,Lepidoptera,Geometridae,no,no,22.5,949,17/9/2013
394,1727,Juv,M,4,Agonopterix scopariella,Insecta,Lepidoptera,Depressariidae,no,no,20.5,532,17/9/2013
395,1727,Juv,M,33,Chrysoperla lucasina/ carnea,Insecta,Neuroptera,Chrysopidae,no,no,na,269,17/9/2013
396,1728,Juv,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,17565,17/9/2013
397,1728,Juv,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,3854,17/9/2013
398,1728,Juv,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1355,17/9/2013
399,1733,Juv,M,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,23012,17/9/2013
400,1735,Juv,M,102,Thalpophila vitalba,Insecta,Lepidoptera,Noctuidae,yes,no,42,10379,17/9/2013
401,1735,Juv,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,6238,17/9/2013
402,1735,Juv,M,71,Leucochlaena oditis,Insecta,Lepidoptera,Noctuidae,no,no,32,5582,17/9/2013
403,1735,Juv,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,2465,17/9/2013
404,1735,Juv,M,74,Mythimna unipuncta/ Leucania zeae,Insecta,Lepidoptera,Noctuidae,yes,yes,44.5,2106,17/9/2013
405,1735,Juv,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,712,17/9/2013
406,1735,Juv,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,560,17/9/2013
407,1736,Juv,F,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,16149,17/9/2013
408,1736,Juv,F,40,Crocallis dardoinaria,Insecta,Lepidoptera,Geometridae,no,no,49,7889,17/9/2013
409,1736,Juv,F,18,Aspitates ochrearia,Insecta,Lepidoptera,Geometridae,yes,no,29.5,7713,17/9/2013
410,1736,Juv,F,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,422,17/9/2013
411,1737,Juv,F,25,Camptogramma bilineata,Insecta,Lepidoptera,Geometridae,no,no,22.5,19472,17/9/2013
412,1737,Juv,F,84,Nysius graminicola,Insecta,Hemiptera,Lygaeidae,no,no,na,2151,17/9/2013
413,1737,Juv,F,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,587,17/9/2013
414,1737,Juv,F,101,Teleiopsis diffinis/ bagriotella/ Eupithecia sp.,Insecta,Lepidoptera,Gelechiidae/ Geometridae,no,no,17.5,411,17/9/2013
415,1738,Juv,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,22715,17/9/2013
416,1741,Juv,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,17682,17/9/2013
417,1741,Juv,M,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,3968,17/9/2013
418,1741,Juv,M,4,Agonopterix scopariella,Insecta,Lepidoptera,Depressariidae,no,no,20.5,2741,17/9/2013
419,1741,Juv,M,110,Tortrix viridana,Insecta,Lepidoptera,Tortricidae,yes,no,20.5,2019,17/9/2013
420,1741,Juv,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,796,17/9/2013
421,1741,Juv,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,580,17/9/2013
422,1741,Juv,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,314,17/9/2013
423,1743,Juv,F,65,Hoplodrina octogenaria/ Caradrina flavirena/ Caradrina fuscicornis/ Caradrina  aspersa ,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,30.5,14811,17/9/2013
424,1743,Juv,F,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,2932,17/9/2013
425,1743,Juv,F,9,Agrotis lata,Insecta,Lepidoptera,Noctuidae,no,no,40,664,17/9/2013
426,1743,Juv,F,28,Caradrina morpheus/ Carpatolechia sp./ Lacanobia contigua,Insecta,Lepidoptera,Noctuidae/ Gelechiidae/ Noctuidae,no,no,37,616,17/9/2013
427,1743,Juv,F,18,Aspitates ochrearia,Insecta,Lepidoptera,Geometridae,yes,no,29.5,250,17/9/2013
428,1744,Juv,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,9815,17/9/2013
429,1744,Juv,M,105,Tipula oleracea,Insecta,Diptera,Tipulidae,no,no,na,8086,17/9/2013
430,1744,Juv,M,61,Gymnoscelis rufifasciata,Insecta,Lepidoptera,Geometridae,yes,no,17,565,17/9/2013
431,1744,Juv,M,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,536,17/9/2013
432,1744,Juv,M,66,Idaea degeneraria,Insecta,Lepidoptera,Geometridae,no,no,28.5,408,17/9/2013
433,1747,Juv,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,16614,18/9/2013
434,1747,Juv,M,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,8762,18/9/2013
